CustomerID,TAV,Frequency,LastInvoiceDate,recency
12346.0,77183.6,1,2011-01-18,325
12347.0,3598.21,6,2011-12-07,2
12348.0,1797.24,4,2011-09-25,75
12349.0,1757.55,1,2011-11-21,18
12350.0,334.4,1,2011-02-02,310
12352.0,2506.04,8,2011-11-03,36
12353.0,89.0,1,2011-05-19,204
12354.0,1079.4,1,2011-04-21,232
12355.0,459.4,1,2011-05-09,214
12356.0,2811.43,3,2011-11-17,22
12357.0,6207.67,1,2011-11-06,33
12358.0,1168.06,2,2011-12-08,1
12359.0,6372.58,4,2011-10-13,57
12360.0,2662.06,3,2011-10-18,52
12361.0,189.9,1,2011-02-25,287
12362.0,5226.23,10,2011-12-06,3
12363.0,552.0,2,2011-08-22,109
12364.0,1313.1,4,2011-12-02,7
12365.0,641.38,2,2011-02-21,291
12367.0,168.9,1,2011-12-05,4
12370.0,3545.69,4,2011-10-19,51
12371.0,1887.96,2,2011-10-26,44
12372.0,1298.04,3,2011-09-29,71
12373.0,364.6,1,2011-02-01,311
12374.0,742.9300000000001,1,2011-11-14,25
12375.0,457.5,2,2011-11-29,10
12377.0,1628.12,2,2011-01-28,315
12378.0,4008.62,1,2011-08-02,129
12379.0,852.24,2,2011-09-19,81
12380.0,2724.81,4,2011-11-18,21
12381.0,1845.31,5,2011-12-05,4
12383.0,1850.56,5,2011-06-08,184
12384.0,585.27,2,2011-11-11,28
12386.0,143.0,1,2011-01-06,337
12388.0,2780.66,6,2011-11-24,15
12390.0,549.84,1,2011-09-21,79
12391.0,460.89,1,2011-11-18,21
12393.0,1582.6000000000001,4,2011-09-28,72
12394.0,1272.48,2,2011-10-07,63
12395.0,2672.53,11,2011-11-20,19
12397.0,2409.9,2,2011-11-04,35
12398.0,1635.6599999999999,1,2011-10-25,45
12399.0,1108.65,4,2011-08-12,119
12401.0,84.3,1,2011-02-09,303
12402.0,225.6,1,2011-01-20,323
12403.0,427.7,1,2011-10-21,49
12405.0,1710.39,1,2011-07-14,148
12406.0,3415.3,2,2011-11-17,22
12407.0,1708.1200000000001,5,2011-10-21,49
12408.0,2888.55,5,2011-11-07,32
12409.0,11072.67,3,2011-09-22,78
12410.0,693.3299999999999,2,2011-02-04,308
12412.0,1226.88,3,2011-09-26,74
12413.0,758.1,3,2011-10-04,66
12414.0,562.41,3,2011-05-06,217
12415.0,124914.53,21,2011-11-15,24
12417.0,3649.1,9,2011-12-06,3
12418.0,668.58,1,2011-08-19,112
12420.0,600.39,1,2011-10-07,63
12421.0,807.04,4,2011-11-24,15
12422.0,803.5600000000001,3,2011-09-05,95
12423.0,1859.31,8,2011-12-09,0
12424.0,1760.96,2,2011-06-30,162
12425.0,777.2,1,2011-09-22,78
12426.0,582.73,1,2011-05-29,194
12427.0,522.3,2,2011-11-18,21
12428.0,7956.46,9,2011-11-14,25
12429.0,3750.4,4,2011-11-30,9
12430.0,256.4,1,2011-10-27,43
12431.0,6129.2,14,2011-11-04,35
12432.0,5059.32,5,2011-10-28,42
12433.0,9588.75,5,2011-12-09,0
12434.0,806.14,2,2011-09-16,84
12435.0,7829.89,2,2011-09-21,79
12436.0,509.01,1,2011-09-01,99
12437.0,4951.41,18,2011-12-08,1
12438.0,2906.85,2,2011-11-25,14
12442.0,172.06,1,2011-12-06,3
12444.0,5005.46,5,2011-11-18,21
12445.0,133.4,1,2011-11-17,22
12446.0,1002.3100000000001,1,2011-10-13,57
12447.0,476.49,1,2011-04-10,243
12448.0,449.45,1,2011-10-26,44
12449.0,4067.29,4,2011-11-17,22
12450.0,197.88,2,2011-07-06,156
12451.0,9035.52,5,2011-11-29,10
12452.0,430.57,2,2011-11-23,16
12453.0,707.09,1,2011-07-28,134
12454.0,3528.34,1,2011-10-14,56
12455.0,2466.86,6,2011-09-27,73
12456.0,3181.04,3,2011-10-26,44
12457.0,2363.23,7,2011-10-04,66
12458.0,947.4,2,2011-09-29,71
12461.0,826.88,2,2011-09-06,94
12462.0,1189.59,2,2011-11-21,18
